City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,colby,39.3958,-101.0524,7.8,63,0,3.6,US,1708442495
335,zhanaozen,43.3,52.8,-1.2,62,98,3.96,KZ,1708442496
336,dunedin,-45.8742,170.5036,8.24,81,3,5.1,NZ,1708442215
337,iowa park,33.9515,-98.6687,11.64,71,0,3.09,US,1708442497
338,susuman,62.7833,148.1667,-34.45,97,100,1.34,RU,1708442498
339,st. john's,47.5649,-52.7093,-3.73,78,40,11.83,CA,1708442392
340,hovd,48.0056,91.6419,-21.43,71,68,1.79,MN,1708442499
341,east london,-33.0153,27.9116,26.52,78,0,7.72,ZA,1708442499
342,as sulayyil,20.4607,45.5779,28.14,22,0,4.11,SA,1708442501
343,selfoss,63.9331,-20.9971,1.69,95,100,0.66,IS,1708442501
344,petropavl,54.8753,69.1628,-28.01,76,0,4.0,KZ,1708442502
345,malango,-2.9627,119.9001,21.48,97,100,0.8,ID,1708442503
346,ceerigaabo,10.6162,47.368,20.4,47,56,1.63,SO,1708442504
347,padang,-0.9492,100.3543,27.03,89,100,1.31,ID,1708442505
348,geraldton,-28.7667,114.6,23.23,88,100,2.06,AU,1708442505
349,sarangani,5.4033,125.4636,27.55,77,4,10.23,PH,1708442506
350,abra pampa,-22.7205,-65.697,15.69,52,99,0.06,AR,1708442507
351,mil'kovo,55.6078,37.7956,-6.44,95,100,3.17,RU,1708442507
352,litchfield,41.7668,-73.2501,-1.4,45,5,0.89,US,1708442246
353,zhezqazghan,47.7833,67.7667,-24.68,70,0,7.0,KZ,1708442508
354,preobrazheniye,42.9019,133.9064,-9.29,58,100,3.63,RU,1708442509
355,north bend,43.4065,-124.2243,10.6,93,100,3.6,US,1708442509
356,kingaroy,-26.5333,151.8333,17.86,97,61,0.57,AU,1708442510
357,olyokminsk,60.3736,120.4264,-18.58,90,100,5.24,RU,1708442511
358,tharangambadi,11.0319,79.8528,25.6,74,2,4.47,IN,1708442511
359,eastham,41.8301,-69.9739,0.33,63,20,4.12,US,1708442512
360,vernon,50.2581,-119.2691,2.94,93,82,2.06,CA,1708442501
361,nuku'alofa,-21.1333,-175.2,26.51,84,100,9.26,TO,1708442513
362,alvorada,-12.48,-49.1247,24.83,86,100,3.13,BR,1708442514
363,al hawatah,13.4167,34.6333,34.93,10,5,6.35,SD,1708442514
364,alakurtti,66.9672,30.3491,-15.45,98,18,1.32,RU,1708442515
365,kristiansund,63.1115,7.732,6.36,70,75,2.57,NO,1708442515
366,homer,59.6425,-151.5483,8.94,61,100,11.83,US,1708442516
367,peniche,39.3558,-9.3811,23.49,71,22,1.84,PT,1708442490
368,chervona sloboda,49.3789,32.1464,1.61,57,99,4.76,UA,1708442517
369,caluula,11.9661,50.7569,25.65,65,16,5.49,SO,1708442517
370,saham,24.1722,56.8886,25.5,44,0,5.08,OM,1708442518
371,sinop,41.7711,34.8709,4.24,96,100,2.18,TR,1708442519
372,anastacio,-20.4836,-55.8069,32.89,45,1,2.0,BR,1708442519
373,lazaro cardenas,17.9583,-102.2,24.83,65,0,1.33,MX,1708442242
374,ola,59.5833,151.2833,-23.81,82,100,5.08,RU,1708442520
375,barra de santo antonio,-9.4047,-35.5072,31.6,70,100,4.63,BR,1708442521
376,las cabezas de san juan,36.9838,-5.9393,23.47,47,0,2.71,ES,1708442521
377,luderitz,-26.6481,15.1594,23.88,59,47,9.82,NA,1708442522
378,polatsk,55.4859,28.7756,-1.66,94,100,4.52,BY,1708442523
379,pingliang,35.5392,106.6861,-4.42,93,100,3.83,CN,1708442524
380,kyzyl,51.7,94.45,-35.55,99,53,0.45,RU,1708442525
381,tazacorte,28.629,-17.9293,23.42,68,75,3.09,ES,1708442525
382,metlili chaamba,32.2667,3.6333,19.52,30,0,5.66,DZ,1708442526
383,broome,42.2506,-75.833,-1.47,66,0,3.09,US,1708442527
384,sidi ifni,29.3797,-10.173,27.86,60,0,2.89,MA,1708442528
385,enewetak,11.3474,162.3373,26.05,75,95,10.17,MH,1708442477
386,yuzhno-kurilsk,44.0306,145.8556,-3.68,70,100,8.31,RU,1708442529
387,mahina,-17.5065,-149.489,25.87,78,20,1.03,PF,1708442530
388,vel'sk,61.0701,42.0983,-5.96,84,100,4.92,RU,1708442531
389,coyah,9.75,-13.4167,35.25,30,9,3.78,GN,1708442531
390,brisas de zicatela,15.8369,-97.0419,26.29,61,0,4.12,MX,1708442532
391,kikwit,-5.041,18.8162,32.93,45,28,1.07,CD,1708442532
392,navalmoral de la mata,39.8916,-5.5406,23.87,45,0,0.86,ES,1708442533
393,pochinki,54.6988,44.8668,-11.21,98,60,1.92,RU,1708442534
394,al matariyah,31.1829,32.0311,16.75,58,15,6.09,EG,1708442534
395,elliot lake,46.3834,-82.6331,-8.74,91,88,2.02,CA,1708442535
396,peterborough,52.5736,-0.2478,13.84,71,0,8.23,GB,1708442366
397,kollegal,12.15,77.1167,26.44,42,67,2.61,IN,1708442537
398,rosarito,32.3333,-117.0333,15.82,71,100,2.7,MX,1708442538
399,tabou,4.423,-7.3528,29.95,69,50,3.74,CI,1708442538
400,terrace,54.5163,-128.6035,0.95,86,20,2.06,CA,1708442540
401,mount gambier,-37.8333,140.7667,18.42,62,15,2.24,AU,1708442542
402,moree,-29.4667,149.85,23.98,57,17,4.31,AU,1708442543
403,port augusta,-32.5,137.7667,22.72,68,2,6.39,AU,1708442544
404,kavaratti,10.5669,72.642,28.57,69,35,5.01,IN,1708442545
405,bardai,11.65,7.2333,35.61,10,3,2.16,NG,1708442546
406,san juan,-31.5375,-68.5364,31.79,32,95,2.8,AR,1708442345
407,ujae,8.9322,165.7642,27.36,82,100,9.41,MH,1708442547
408,l'aquila,42.365,13.3935,13.91,56,67,4.03,IT,1708442465
409,portland,45.5234,-122.6762,7.11,93,75,0.89,US,1708442221
410,charters towers,-20.1,146.2667,23.67,85,100,3.86,AU,1708442549
411,prineville,44.2999,-120.8345,5.27,81,40,2.06,US,1708442550
412,myeik,12.4333,98.6,25.29,70,6,1.53,MM,1708442551
413,hailey,43.5196,-114.3153,-1.22,82,100,4.12,US,1708442270
414,kabin buri,13.9511,101.7177,26.95,65,26,2.1,TH,1708442552
415,fort st. john,56.2499,-120.8529,-10.06,79,75,1.54,CA,1708442341
416,kuna,43.4918,-116.4201,8.31,79,20,5.14,US,1708442554
417,trapani,37.8333,12.6667,13.05,88,75,6.17,IT,1708442555
418,smithfield,41.922,-71.5495,-1.01,46,0,2.06,US,1708442386
419,uchiza,-8.4592,-76.4633,23.25,99,100,0.33,PE,1708442556
420,salalah,17.0151,54.0924,24.43,69,1,1.69,OM,1708442556
421,kerikeri,-35.2268,173.9474,18.28,87,17,1.89,NZ,1708442557
422,portales,34.1862,-103.3344,11.74,35,99,4.2,US,1708442558
423,namsos,64.4662,11.4957,3.03,93,75,5.14,NO,1708442559
424,el granada,37.5027,-122.4694,13.55,90,100,4.12,US,1708442560
